Tester:     weka.experiment.PairedCorrectedTTester
Analysing:  Percent_correct
Datasets:   65
Resultsets: 25
Confidence: 0.05 (two tailed)
Sorted by:  -
Date:       11/23/14 2:26 AM


Dataset,[1],[2],'',[3],'',[4],'',[5],'',[6],'',[7],'',[8],'',[9],'',[10],'',[11],'',[12],'',[13],'',[14],'',[15],'',[16],'',[17],'',[18],'',[19],'',[20],'',[21],'',[22],'',[23],'',[24],'',[25],''
2.5-type-binfbp-noembarke,81.49,82.24,' ',78.90,*,82.00,' ',82.82,' ',82.82,' ',82.14,' ',82.16,' ',82.27,' ',81.64,' ',82.71,' ',81.76,' ',82.10,' ',82.09,' ',82.17,' ',80.62,' ',76.15,*,76.94,*,76.12,*,76.94,*,74.94,*,82.30,' ',82.30,' ',82.30,' ',80.56,' '
3.0-type-binfbp-company,81.91,81.73,' ',78.90,*,81.09,' ',81.82,' ',81.82,' ',81.34,' ',81.30,' ',81.36,' ',80.97,' ',81.83,' ',78.90,*,78.79,*,78.90,*,81.51,' ',81.51,' ',76.91,*,76.92,*,76.92,*,76.92,*,73.91,*,81.29,' ',81.29,' ',81.29,' ',81.55,' '
3.2-type-binfbp-company-n,81.66,81.88,' ',78.90,*,81.91,' ',81.37,' ',81.37,' ',81.74,' ',81.81,' ',81.75,' ',80.27,' ',81.81,' ',78.90,*,78.90,*,78.90,*,81.10,' ',81.10,' ',75.23,*,75.22,*,75.22,*,75.22,*,74.00,*,81.71,' ',81.71,' ',81.71,' ',80.16,' '
4.0-type-binfbp-sibsp,82.83,82.46,' ',78.90,*,81.93,' ',83.16,' ',83.16,' ',82.87,' ',82.30,' ',82.31,' ',82.71,' ',82.40,' ',81.93,' ',81.93,' ',81.93,' ',82.58,' ',81.93,' ',77.19,*,77.56,*,77.50,*,77.56,*,75.00,*,82.30,' ',82.30,' ',82.30,' ',82.23,' '
4.2-type-binfbp-sibsp-noe,82.08,82.32,' ',78.90,*,82.53,' ',81.72,' ',81.83,' ',82.45,' ',82.06,' ',81.98,' ',82.09,' ',82.13,' ',81.93,' ',81.93,' ',81.93,' ',82.45,' ',81.93,' ',77.22,*,77.09,*,77.03,*,77.09,*,75.70,' ',81.86,' ',81.86,' ',81.86,' ',80.54,' '
4.3-type-binfbp-sibsp-nop,83.37,82.91,' ',78.90,*,82.91,' ',82.99,' ',82.99,' ',82.81,' ',83.09,' ',82.86,' ',82.76,' ',82.98,' ',81.93,' ',81.93,' ',81.93,' ',81.93,' ',81.93,' ',77.61,*,77.59,*,77.59,*,77.59,*,75.45,*,82.81,' ',82.81,' ',82.81,' ',82.45,' '
4.4-type-binfbp-sibsp-nop,81.39,81.76,' ',78.90,*,81.88,' ',80.29,*,80.38,*,81.24,' ',81.17,' ',80.71,' ',81.29,' ',81.37,' ',81.93,' ',81.93,' ',81.93,' ',81.93,' ',81.93,' ',77.37,*,77.35,*,77.35,*,77.35,*,75.56,' ',80.71,' ',80.71,' ',80.71,' ',80.22,' '
5.0-type-binfbp-sibsp-dec,81.94,82.22,' ',78.90,*,80.62,' ',82.05,' ',82.05,' ',81.30,' ',81.07,' ',81.34,' ',81.31,' ',82.26,' ',78.79,*,78.63,*,78.79,*,80.73,' ',78.82,*,76.69,*,77.20,*,77.32,*,77.20,*,73.81,*,80.74,' ',80.74,' ',80.74,' ',81.59,' '
5.2-type-binfbp-sibsp-dec,80.02,81.12,' ',78.90,' ',81.12,' ',80.95,' ',80.97,' ',80.33,' ',80.56,' ',80.56,' ',80.05,' ',81.66,v,78.79,' ',78.79,' ',78.79,' ',80.78,' ',78.82,' ',75.86,*,76.58,*,76.45,*,76.58,*,74.37,*,80.37,' ',80.37,' ',80.37,' ',80.42,' '
5.3-type-binfbp-sibsp-dec,81.71,82.33,' ',78.90,*,81.37,' ',81.87,' ',81.87,' ',81.08,' ',82.08,' ',81.85,' ',81.44,' ',82.01,' ',78.79,*,78.68,*,78.79,*,78.79,*,78.79,*,77.13,*,77.13,*,77.13,*,77.13,*,73.46,*,81.31,' ',81.31,' ',81.31,' ',81.96,' '
